Config file: int value for RUNS_COUNT not found!
Application started: 00:38:31 2020/12/24
Initializing the simulation..
Activating generators...
Running the simulation, please wait.
Added patient to queue, patient: 4058
Trying to move to basic care unit..., patient: 4033
Added patient to queue, patient: 4059
Trying to move to intensive care unit..., patient: 4034
Trying to move to intensive care unit..., patient: 4045
Trying to move to intensive care unit..., patient: 4016
DailyProbability time: 826.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4034
Patient moved back to basic care, patient: 4033
Patient died in basic care... (no free bed in intensive care unit), patient: 4045
Patient died in queue, patient: 4046
Patient died in queue, patient: 4047
Patient died in queue, patient: 4048
Patient died in queue, patient: 4049
Patient died in basic care... (no free bed in intensive care unit), patient: 4016
Added patient to queue, patient: 4060
Patient is healthy, patient: 3920
Added patient to queue, patient: 4061
Added patient to queue, patient: 4062
Trying to move to basic care unit..., patient: 3853
Added patient to queue, patient: 4063
Added patient to queue, patient: 4064
Trying to move to intensive care unit..., patient: 4008
DailyProbability time: 827.0
Patient moved to intensive care unit successfully, patient: 4008
Patient moved back to basic care, patient: 3853
Added patient to queue, patient: 4065
Added patient to queue, patient: 4066
Added patient to queue, patient: 4067
Patient is healthy, patient: 3989
Patient died in queue, patient: 4053
Patient died in queue, patient: 4054
Patient died in queue, patient: 4055
Patient died in queue, patient: 4056
Patient died in queue, patient: 4057
Patient died in queue, patient: 4058
Trying to move to intensive care unit..., patient: 4059
Trying to move to intensive care unit..., patient: 4051
DailyProbability time: 828.0
Patient moved to intensive care unit successfully, patient: 4059
Patient died in basic care... (no free bed in intensive care unit), patient: 4051
Added patient to queue, patient: 4068
Added patient to queue, patient: 4069
Added patient to queue, patient: 4070
Added patient to queue, patient: 4071
Patient is healthy, patient: 4027
Trying to move to basic care unit..., patient: 4020
Added patient to queue, patient: 4072
Added patient to queue, patient: 4073
Trying to move to intensive care unit..., patient: 4032
DailyProbability time: 829.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4032
Patient moved back to basic care, patient: 4020
Added patient to queue, patient: 4074
Added patient to queue, patient: 4075
Added patient to queue, patient: 4076
Added patient to queue, patient: 4077
Added patient to queue, patient: 4078
DailyProbability time: 830.0
Trying to move to basic care unit..., patient: 3925
Added patient to queue, patient: 4079
Trying to move to basic care unit..., patient: 4036
Added patient to queue, patient: 4080
Added patient to queue, patient: 4081
Added patient to queue, patient: 4082
Added patient to queue, patient: 4083
Trying to move to basic care unit..., patient: 4059
Trying to move to intensive care unit..., patient: 4043
Trying to move to intensive care unit..., patient: 4052
DailyProbability time: 831.0
Patient moved to intensive care unit successfully, patient: 4043
Patient moved back to basic care, patient: 3925
Patient died in basic care... (no free bed in intensive care unit), patient: 4052
Patient moved back to basic care, patient: 4036
Added patient to queue, patient: 4084
Patient is healthy, patient: 4044
Patient moved back to basic care, patient: 4059
Added patient to queue, patient: 4085
Added patient to queue, patient: 4086
Added patient to queue, patient: 4087
Trying to move to intensive care unit..., patient: 4020
Trying to move to intensive care unit..., patient: 4033
DailyProbability time: 832.0
Patient moved to intensive care unit successfully, patient: 4020
Patient died in queue, patient: 4063
Patient died in queue, patient: 4064
Patient died in queue, patient: 4065
Patient died in queue, patient: 4066
Patient died in queue, patient: 4067
Patient died in queue, patient: 4068
Patient died in queue, patient: 4069
Patient died in queue, patient: 4070
Patient died in queue, patient: 4071
Patient died in queue, patient: 4072
Patient died in queue, patient: 4073
Patient died in queue, patient: 4074
Patient died in queue, patient: 4075
Patient died in queue, patient: 4076
Patient died in queue, patient: 4077
Patient died in queue, patient: 4078
Patient died on basic care, patient: 3925
Patient moved to intensive care unit successfully, patient: 4033
Added patient to queue, patient: 4088
Trying to move to basic care unit..., patient: 4008
Added patient to queue, patient: 4089
Patient is healthy, patient: 4050
Patient moved back to basic care, patient: 4008
Added patient to queue, patient: 4090
Added patient to queue, patient: 4091
Added patient to queue, patient: 4092
Trying to move to intensive care unit..., patient: 3853
Trying to move to intensive care unit..., patient: 4081
DailyProbability time: 833.0
Patient moved to intensive care unit successfully, patient: 3853
Patient died in queue, patient: 4082
Patient died in queue, patient: 4083
Patient moved to intensive care unit successfully, patient: 4081
Added patient to queue, patient: 4093
Trying to move to basic care unit..., patient: 3853
Added patient to queue, patient: 4094
Added patient to queue, patient: 4095
Added patient to queue, patient: 4096
Added patient to queue, patient: 4097
Added patient to queue, patient: 4098
Trying to move to basic care unit..., patient: 4081
Added patient to queue, patient: 4099
Added patient to queue, patient: 4100
Trying to move to basic care unit..., patient: 4033
DailyProbability time: 834.0
Patient died on basic care, patient: 4008
Patient moved back to basic care, patient: 3853
Added patient to queue, patient: 4101
Added patient to queue, patient: 4102
Added patient to queue, patient: 4103
Patient is healthy, patient: 4061
Patient moved back to basic care, patient: 4081
Added patient to queue, patient: 4104
Patient is healthy, patient: 4060
Patient moved back to basic care, patient: 4033
Trying to move to intensive care unit..., patient: 4080
DailyProbability time: 835.0
Patient moved to intensive care unit successfully, patient: 4080
Patient died in queue, patient: 4086
Patient died in queue, patient: 4087
Patient died in queue, patient: 4088
Patient died in queue, patient: 4089
Patient died in queue, patient: 4090
Patient died in queue, patient: 4091
Patient died in queue, patient: 4092
Patient is healthy, patient: 4062
Added patient to queue, patient: 4105
Trying to move to basic care unit..., patient: 4080
Trying to move to basic care unit..., patient: 4020
Added patient to queue, patient: 4106
DailyProbability time: 836.0
Added patient to queue, patient: 4107
Added patient to queue, patient: 4108
Added patient to queue, patient: 4109
Added patient to queue, patient: 4110
Added patient to queue, patient: 4111
DailyProbability time: 837.0
Added patient to queue, patient: 4112
Added patient to queue, patient: 4113
Added patient to queue, patient: 4114
Added patient to queue, patient: 4115
Patient is healthy, patient: 4036
Patient moved back to basic care, patient: 4080
Added patient to queue, patient: 4116
Added patient to queue, patient: 4117
Added patient to queue, patient: 4118
Added patient to queue, patient: 4119
Patient is healthy, patient: 4059
Patient moved back to basic care, patient: 4020
Trying to move to intensive care unit..., patient: 4081
DailyProbability time: 838.0
Patient moved to intensive care unit successfully, patient: 4081
Patient died in queue, patient: 4095
Patient died in queue, patient: 4096
Patient died in queue, patient: 4097
Patient died in queue, patient: 4098
Patient died in queue, patient: 4099
Patient died in queue, patient: 4100
Patient died in queue, patient: 4101
Patient died in queue, patient: 4102
Patient died in queue, patient: 4103
Patient died in queue, patient: 4104
Patient died in queue, patient: 4105
Patient died in queue, patient: 4106
Added patient to queue, patient: 4120
Added patient to queue, patient: 4121
Added patient to queue, patient: 4122
Patient is healthy, patient: 4079
Patient died in queue, patient: 4108
Patient died in queue, patient: 4109
Added patient to queue, patient: 4123
Added patient to queue, patient: 4124
Trying to move to intensive care unit..., patient: 4094
Trying to move to intensive care unit..., patient: 4107
DailyProbability time: 839.0
Patient moved to intensive care unit successfully, patient: 4094
Patient died in queue, patient: 4111
Patient moved to intensive care unit successfully, patient: 4107
Added patient to queue, patient: 4125
Patient is healthy, patient: 4084
Patient died in queue, patient: 4114
Patient is healthy, patient: 4085
Added patient to queue, patient: 4126
Trying to move to basic care unit..., patient: 4043
Trying to move to intensive care unit..., patient: 4080
DailyProbability time: 840.0
Patient moved to intensive care unit successfully, patient: 4080
Patient moved back to basic care, patient: 4043
Trying to move to basic care unit..., patient: 4107
Added patient to queue, patient: 4127
Patient is healthy, patient: 3853
Patient moved back to basic care, patient: 4107
Added patient to queue, patient: 4128
Added patient to queue, patient: 4129
Added patient to queue, patient: 4130
DailyProbability time: 841.0
Added patient to queue, patient: 4131
Added patient to queue, patient: 4132
Patient is healthy, patient: 4033
Patient died in queue, patient: 4117
Patient died in queue, patient: 4118
Patient died in queue, patient: 4119
Patient died in queue, patient: 4120
Patient died in queue, patient: 4121
Patient died in queue, patient: 4122
Patient died in queue, patient: 4123
Patient died in queue, patient: 4124
Patient died in queue, patient: 4125
Added patient to queue, patient: 4133
Patient is healthy, patient: 4093
Added patient to queue, patient: 4134
Added patient to queue, patient: 4135
Added patient to queue, patient: 4136
Added patient to queue, patient: 4137
DailyProbability time: 842.0
Added patient to queue, patient: 4138
Added patient to queue, patient: 4139
Added patient to queue, patient: 4140
Added patient to queue, patient: 4141
Added patient to queue, patient: 4142
Trying to move to intensive care unit..., patient: 4110
Trying to move to intensive care unit..., patient: 4020
DailyProbability time: 843.0
Patient moved to intensive care unit successfully, patient: 4110
Patient died in queue, patient: 4128
Patient died in queue, patient: 4129
Patient died in queue, patient: 4130
Patient moved to intensive care unit successfully, patient: 4020
Trying to move to basic care unit..., patient: 4110
Added patient to queue, patient: 4143
Added patient to queue, patient: 4144
Added patient to queue, patient: 4145
Trying to move to intensive care unit..., patient: 4132
Trying to move to intensive care unit..., patient: 4112
DailyProbability time: 844.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4132
Patient moved back to basic care, patient: 4110
Patient died in basic care... (no free bed in intensive care unit), patient: 4112
Patient died in queue, patient: 4133
Patient died in queue, patient: 4134
Patient died in queue, patient: 4135
Patient died in queue, patient: 4136
Patient died in queue, patient: 4137
Added patient to queue, patient: 4146
Added patient to queue, patient: 4147
Trying to move to basic care unit..., patient: 4080
Added patient to queue, patient: 4148
Added patient to queue, patient: 4149
Trying to move to intensive care unit..., patient: 4138
DailyProbability time: 845.0
Patient moved to intensive care unit successfully, patient: 4138
Patient moved back to basic care, patient: 4080
Added patient to queue, patient: 4150
Trying to move to basic care unit..., patient: 4138
Added patient to queue, patient: 4151
Added patient to queue, patient: 4152
Patient is healthy, patient: 4113
Patient moved back to basic care, patient: 4138
Added patient to queue, patient: 4153
Added patient to queue, patient: 4154
Added patient to queue, patient: 4155
Added patient to queue, patient: 4156
Patient is healthy, patient: 4116
Patient died in queue, patient: 4139
Patient died in queue, patient: 4140
Patient died in queue, patient: 4141
Patient died in queue, patient: 4142
Patient died in queue, patient: 4143
Patient died in queue, patient: 4144
Patient died in queue, patient: 4145
Trying to move to intensive care unit..., patient: 4131
Trying to move to intensive care unit..., patient: 4127
Trying to move to intensive care unit..., patient: 4146
Trying to move to intensive care unit..., patient: 4126
Trying to move to intensive care unit..., patient: 4138
DailyProbability time: 846.0
Patient moved to intensive care unit successfully, patient: 4131
Patient moved to intensive care unit successfully, patient: 4127
Patient died in basic care... (no free bed in intensive care unit), patient: 4146
Patient died in basic care... (no free bed in intensive care unit), patient: 4126
Patient died in basic care... (no free bed in intensive care unit), patient: 4138
Added patient to queue, patient: 4157
Patient is healthy, patient: 4115
Added patient to queue, patient: 4158
Patient is healthy, patient: 4043
Added patient to queue, patient: 4159
Added patient to queue, patient: 4160
Added patient to queue, patient: 4161
Added patient to queue, patient: 4162
Added patient to queue, patient: 4163
Trying to move to intensive care unit..., patient: 4110
Trying to move to intensive care unit..., patient: 4151
DailyProbability time: 847.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4110
Patient died in basic care... (no free bed in intensive care unit), patient: 4151
Patient is healthy, patient: 4107
Added patient to queue, patient: 4164
Added patient to queue, patient: 4165
Added patient to queue, patient: 4166
Trying to move to basic care unit..., patient: 4127
Trying to move to intensive care unit..., patient: 4149
Trying to move to intensive care unit..., patient: 4155
DailyProbability time: 848.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4149
Patient moved back to basic care, patient: 4127
Patient died in basic care... (no free bed in intensive care unit), patient: 4155
Added patient to queue, patient: 4167
Added patient to queue, patient: 4168
Added patient to queue, patient: 4169
Added patient to queue, patient: 4170
Added patient to queue, patient: 4171
Trying to move to basic care unit..., patient: 4094
Trying to move to intensive care unit..., patient: 4148
Trying to move to intensive care unit..., patient: 4127
DailyProbability time: 849.0
Patient moved to intensive care unit successfully, patient: 4148
Patient moved back to basic care, patient: 4094
Patient died in basic care... (no free bed in intensive care unit), patient: 4127
Patient died in queue, patient: 4158
Patient died in queue, patient: 4159
Patient died in queue, patient: 4160
Patient died in queue, patient: 4161
Patient died in queue, patient: 4162
Patient died in queue, patient: 4163
Added patient to queue, patient: 4172
Added patient to queue, patient: 4173
Added patient to queue, patient: 4174
Added patient to queue, patient: 4175
Added patient to queue, patient: 4176
Added patient to queue, patient: 4177
Trying to move to intensive care unit..., patient: 4153
DailyProbability time: 850.0
Patient moved to intensive care unit successfully, patient: 4153
Patient died in queue, patient: 4165
Patient died in queue, patient: 4166
Added patient to queue, patient: 4178
Trying to move to basic care unit..., patient: 4020
Added patient to queue, patient: 4179
Added patient to queue, patient: 4180
Added patient to queue, patient: 4181
Added patient to queue, patient: 4182
Added patient to queue, patient: 4183
Trying to move to basic care unit..., patient: 4148
Trying to move to intensive care unit..., patient: 4156
Trying to move to intensive care unit..., patient: 4157
DailyProbability time: 851.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4156
Patient moved back to basic care, patient: 4020
Patient died in basic care... (no free bed in intensive care unit), patient: 4157
Patient moved back to basic care, patient: 4148
Added patient to queue, patient: 4184
Trying to move to basic care unit..., patient: 4153
Added patient to queue, patient: 4185
Patient is healthy, patient: 4080
Patient moved back to basic care, patient: 4153
Added patient to queue, patient: 4186
Trying to move to intensive care unit..., patient: 4147
Trying to move to intensive care unit..., patient: 4150
DailyProbability time: 852.0
Patient moved to intensive care unit successfully, patient: 4147
Patient died in queue, patient: 4168
Patient died in queue, patient: 4169
Patient died in queue, patient: 4170
Patient died in queue, patient: 4171
Patient died in queue, patient: 4172
Patient died in queue, patient: 4173
Patient died in queue, patient: 4174
Patient died in queue, patient: 4175
Patient died in queue, patient: 4176
Patient died in queue, patient: 4177
Patient moved to intensive care unit successfully, patient: 4150
Added patient to queue, patient: 4187
Added patient to queue, patient: 4188
Added patient to queue, patient: 4189
Added patient to queue, patient: 4190
Added patient to queue, patient: 4191
Added patient to queue, patient: 4192
Added patient to queue, patient: 4193
Trying to move to basic care unit..., patient: 4150
Added patient to queue, patient: 4194
Added patient to queue, patient: 4195
Patient is healthy, patient: 4152
Patient moved back to basic care, patient: 4150
Trying to move to intensive care unit..., patient: 4154
DailyProbability time: 853.0
Patient moved to intensive care unit successfully, patient: 4154
Patient died in queue, patient: 4180
Patient died in queue, patient: 4181
Patient died in queue, patient: 4182
Patient died in queue, patient: 4183
Added patient to queue, patient: 4196
Trying to move to basic care unit..., patient: 4154
Added patient to queue, patient: 4197
Added patient to queue, patient: 4198
Added patient to queue, patient: 4199
Added patient to queue, patient: 4200
Trying to move to intensive care unit..., patient: 4178
Trying to move to intensive care unit..., patient: 4150
Trying to move to intensive care unit..., patient: 4094
DailyProbability time: 854.0
Patient moved to intensive care unit successfully, patient: 4178
Patient moved back to basic care, patient: 4154
Patient died in basic care... (no free bed in intensive care unit), patient: 4150
Patient died in queue, patient: 4185
Patient died in queue, patient: 4186
Patient died in basic care... (no free bed in intensive care unit), patient: 4094
Added patient to queue, patient: 4201
Added patient to queue, patient: 4202
Added patient to queue, patient: 4203
Added patient to queue, patient: 4204
Added patient to queue, patient: 4205
Added patient to queue, patient: 4206
Trying to move to intensive care unit..., patient: 4154
Trying to move to intensive care unit..., patient: 4153
Trying to move to intensive care unit..., patient: 4020
DailyProbability time: 855.0
Patient moved to intensive care unit successfully, patient: 4154
Patient died in queue, patient: 4189
Patient died in queue, patient: 4190
Patient died in queue, patient: 4191
Patient died in queue, patient: 4192
Patient died in queue, patient: 4193
Patient died in queue, patient: 4194
Patient died in queue, patient: 4195
Patient died in basic care... (no free bed in intensive care unit), patient: 4153
Patient died in basic care... (no free bed in intensive care unit), patient: 4020
Added patient to queue, patient: 4207
Added patient to queue, patient: 4208
Patient is healthy, patient: 4164
Trying to move to basic care unit..., patient: 4081
Added patient to queue, patient: 4209
Trying to move to intensive care unit..., patient: 4187
DailyProbability time: 856.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4187
Patient moved back to basic care, patient: 4081
Added patient to queue, patient: 4210
Added patient to queue, patient: 4211
Added patient to queue, patient: 4212
Added patient to queue, patient: 4213
Added patient to queue, patient: 4214
Added patient to queue, patient: 4215
Added patient to queue, patient: 4216
Trying to move to basic care unit..., patient: 4131
Added patient to queue, patient: 4217
Added patient to queue, patient: 4218
Patient is healthy, patient: 4167
Patient moved back to basic care, patient: 4131
Added patient to queue, patient: 4219
Added patient to queue, patient: 4220
Trying to move to intensive care unit..., patient: 4196
Trying to move to intensive care unit..., patient: 4199
Trying to move to intensive care unit..., patient: 4179
Trying to move to intensive care unit..., patient: 4148
DailyProbability time: 857.0
Patient moved to intensive care unit successfully, patient: 4196
Patient died in queue, patient: 4200
Patient died in queue, patient: 4201
Patient died in queue, patient: 4202
Patient died in queue, patient: 4203
Patient died in queue, patient: 4204
Patient died in queue, patient: 4205
Patient died in queue, patient: 4206
Patient moved to intensive care unit successfully, patient: 4199
Patient died in basic care... (no free bed in intensive care unit), patient: 4179
Patient died in basic care... (no free bed in intensive care unit), patient: 4148
Added patient to queue, patient: 4221
Added patient to queue, patient: 4222
Trying to move to basic care unit..., patient: 4178
Added patient to queue, patient: 4223
Added patient to queue, patient: 4224
Trying to move to basic care unit..., patient: 4199
Added patient to queue, patient: 4225
Added patient to queue, patient: 4226
Trying to move to intensive care unit..., patient: 4081
Trying to move to intensive care unit..., patient: 4209
DailyProbability time: 858.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4081
Patient moved back to basic care, patient: 4178
Patient died in basic care... (no free bed in intensive care unit), patient: 4209
Patient moved back to basic care, patient: 4199
Added patient to queue, patient: 4227
Trying to move to basic care unit..., patient: 4154
Added patient to queue, patient: 4228
Added patient to queue, patient: 4229
Added patient to queue, patient: 4230
Trying to move to intensive care unit..., patient: 4208
DailyProbability time: 859.0
Patient moved to intensive care unit successfully, patient: 4208
Patient moved back to basic care, patient: 4154
Added patient to queue, patient: 4231
Added patient to queue, patient: 4232
Added patient to queue, patient: 4233
Added patient to queue, patient: 4234
Added patient to queue, patient: 4235
Trying to move to basic care unit..., patient: 4147
Patient is healthy, patient: 4184
Patient moved back to basic care, patient: 4147
Added patient to queue, patient: 4236
Added patient to queue, patient: 4237
Trying to move to intensive care unit..., patient: 4154
DailyProbability time: 860.0
Patient moved to intensive care unit successfully, patient: 4154
Patient died in queue, patient: 4211
Patient died in queue, patient: 4212
Patient died in queue, patient: 4213
Patient died in queue, patient: 4214
Patient died in queue, patient: 4215
Patient died in queue, patient: 4216
Patient died in queue, patient: 4217
Patient died in queue, patient: 4218
Patient died in queue, patient: 4219
Patient died in queue, patient: 4220
Patient died in queue, patient: 4221
Patient died in queue, patient: 4222
Patient died in queue, patient: 4223
Patient died in queue, patient: 4224
Patient died in queue, patient: 4225
Patient died in queue, patient: 4226
Patient died on intensive care, patient: 4208
Added patient to queue, patient: 4238
Patient is healthy, patient: 4188
Added patient to queue, patient: 4239
Added patient to queue, patient: 4240
Added patient to queue, patient: 4241
Added patient to queue, patient: 4242
DailyProbability time: 861.0
Added patient to queue, patient: 4243
Added patient to queue, patient: 4244
Added patient to queue, patient: 4245
Added patient to queue, patient: 4246
Patient is healthy, patient: 4197
Patient died in queue, patient: 4229
Patient died in queue, patient: 4230
Patient died in queue, patient: 4231
Patient died in queue, patient: 4232
Patient died in queue, patient: 4233
Patient died in queue, patient: 4234
Patient died in queue, patient: 4235
Added patient to queue, patient: 4247
Patient is healthy, patient: 4198
Added patient to queue, patient: 4248
Trying to move to intensive care unit..., patient: 4207
Trying to move to intensive care unit..., patient: 4147
Trying to move to intensive care unit..., patient: 4227
Trying to move to intensive care unit..., patient: 4131
Trying to move to intensive care unit..., patient: 4210
DailyProbability time: 862.0
Patient moved to intensive care unit successfully, patient: 4207
Patient moved to intensive care unit successfully, patient: 4147
Patient moved to intensive care unit successfully, patient: 4227
Patient died in basic care... (no free bed in intensive care unit), patient: 4131
Patient died in basic care... (no free bed in intensive care unit), patient: 4210
Patient died on intensive care, patient: 4196
Added patient to queue, patient: 4249
Added patient to queue, patient: 4250
Added patient to queue, patient: 4251
Added patient to queue, patient: 4252
Trying to move to intensive care unit..., patient: 4236
Trying to move to intensive care unit..., patient: 4237
Trying to move to intensive care unit..., patient: 4199
DailyProbability time: 863.0
Patient moved to intensive care unit successfully, patient: 4236
Patient died in basic care... (no free bed in intensive care unit), patient: 4237
Patient died in basic care... (no free bed in intensive care unit), patient: 4199
Added patient to queue, patient: 4253
Added patient to queue, patient: 4254
Added patient to queue, patient: 4255
Added patient to queue, patient: 4256
Trying to move to basic care unit..., patient: 4236
Trying to move to intensive care unit..., patient: 4238
Trying to move to intensive care unit..., patient: 4178
DailyProbability time: 864.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4238
Patient moved back to basic care, patient: 4236
Patient died in basic care... (no free bed in intensive care unit), patient: 4178
Patient died in queue, patient: 4246
Patient died in queue, patient: 4247
Patient died in queue, patient: 4248
Patient died on basic care, patient: 4243
Trying to move to basic care unit..., patient: 4227
Added patient to queue, patient: 4257
Added patient to queue, patient: 4258
Added patient to queue, patient: 4259
Added patient to queue, patient: 4260
Added patient to queue, patient: 4261
Trying to move to intensive care unit..., patient: 4250
DailyProbability time: 865.0
Patient moved to intensive care unit successfully, patient: 4250
Patient moved back to basic care, patient: 4227
Added patient to queue, patient: 4262
Added patient to queue, patient: 4263
Trying to move to basic care unit..., patient: 4250
Added patient to queue, patient: 4264
Added patient to queue, patient: 4265
Trying to move to basic care unit..., patient: 4207
Added patient to queue, patient: 4266
Added patient to queue, patient: 4267
Added patient to queue, patient: 4268
DailyProbability time: 866.0
Patient died on basic care, patient: 4239
Patient moved back to basic care, patient: 4250
Added patient to queue, patient: 4269
Added patient to queue, patient: 4270
Added patient to queue, patient: 4271
Trying to move to basic care unit..., patient: 4154
Added patient to queue, patient: 4272
Added patient to queue, patient: 4273
Patient is healthy, patient: 4228
Patient moved back to basic care, patient: 4207
Added patient to queue, patient: 4274
Trying to move to intensive care unit..., patient: 4249
Trying to move to intensive care unit..., patient: 4207
Trying to move to intensive care unit..., patient: 4250
Trying to move to intensive care unit..., patient: 4244
Trying to move to intensive care unit..., patient: 4242
DailyProbability time: 867.0
Patient moved to intensive care unit successfully, patient: 4249
Patient moved back to basic care, patient: 4154
Patient moved to intensive care unit successfully, patient: 4207
Patient died in queue, patient: 4251
Patient died in queue, patient: 4252
Patient died in queue, patient: 4253
Patient died in queue, patient: 4254
Patient died in queue, patient: 4255
Patient died in queue, patient: 4256
Patient died in queue, patient: 4257
Patient died in queue, patient: 4258
Patient died in queue, patient: 4259
Patient died in queue, patient: 4260
Patient died in queue, patient: 4261
Patient moved to intensive care unit successfully, patient: 4250
Patient died in basic care... (no free bed in intensive care unit), patient: 4244
Patient died in basic care... (no free bed in intensive care unit), patient: 4242
Added patient to queue, patient: 4275
Added patient to queue, patient: 4276
Added patient to queue, patient: 4277
Added patient to queue, patient: 4278
Added patient to queue, patient: 4279
Added patient to queue, patient: 4280
Added patient to queue, patient: 4281
Added patient to queue, patient: 4282
Added patient to queue, patient: 4283
Trying to move to intensive care unit..., patient: 4154
DailyProbability time: 868.0
Patient moved to intensive care unit successfully, patient: 4154
Patient died in queue, patient: 4266
Patient died in queue, patient: 4267
Patient died in queue, patient: 4268
Trying to move to basic care unit..., patient: 4154
Patient is healthy, patient: 4240
Patient moved back to basic care, patient: 4154
Patient is healthy, patient: 4241
Patient died in queue, patient: 4270
Patient died in queue, patient: 4271
Patient died in queue, patient: 4272
Patient died in queue, patient: 4273
Patient died in queue, patient: 4274
Trying to move to intensive care unit..., patient: 4262
Trying to move to intensive care unit..., patient: 4275
DailyProbability time: 869.0
Patient moved to intensive care unit successfully, patient: 4262
Patient died in basic care... (no free bed in intensive care unit), patient: 4275
Patient died on basic care, patient: 4265
Added patient to queue, patient: 4284
Added patient to queue, patient: 4285
Added patient to queue, patient: 4286
Added patient to queue, patient: 4287
Patient is healthy, patient: 4245
Patient died in queue, patient: 4279
Added patient to queue, patient: 4288
Added patient to queue, patient: 4289
Added patient to queue, patient: 4290
Added patient to queue, patient: 4291
Trying to move to intensive care unit..., patient: 4227
DailyProbability time: 870.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4227
Patient died in queue, patient: 4281
Patient died in queue, patient: 4282
Patient died in queue, patient: 4283
Added patient to queue, patient: 4292
Added patient to queue, patient: 4293
Added patient to queue, patient: 4294
Patient is healthy, patient: 4236
Trying to move to basic care unit..., patient: 4250
Added patient to queue, patient: 4295
Added patient to queue, patient: 4296
Added patient to queue, patient: 4297
Added patient to queue, patient: 4298
Trying to move to intensive care unit..., patient: 4285
Trying to move to intensive care unit..., patient: 4284
DailyProbability time: 871.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4285
Patient moved back to basic care, patient: 4250
Patient died in basic care... (no free bed in intensive care unit), patient: 4284
Added patient to queue, patient: 4299
Added patient to queue, patient: 4300
Trying to move to basic care unit..., patient: 4147
Added patient to queue, patient: 4301
Added patient to queue, patient: 4302
Trying to move to basic care unit..., patient: 4249
Trying to move to basic care unit..., patient: 4207
Trying to move to basic care unit..., patient: 4262
Added patient to queue, patient: 4303
DailyProbability time: 872.0
Added patient to queue, patient: 4304
Added patient to queue, patient: 4305
Added patient to queue, patient: 4306
Added patient to queue, patient: 4307
Added patient to queue, patient: 4308
Added patient to queue, patient: 4309
Trying to move to intensive care unit..., patient: 4250
Trying to move to intensive care unit..., patient: 4280
DailyProbability time: 873.0
Patient moved to intensive care unit successfully, patient: 4250
Patient moved back to basic care, patient: 4147
Patient died in basic care... (no free bed in intensive care unit), patient: 4280
Patient moved back to basic care, patient: 4249
Added patient to queue, patient: 4310
Added patient to queue, patient: 4311
Patient is healthy, patient: 4264
Patient moved back to basic care, patient: 4207
Patient is healthy, patient: 4263
Patient moved back to basic care, patient: 4262
Trying to move to intensive care unit..., patient: 4269
DailyProbability time: 874.0
Patient moved to intensive care unit successfully, patient: 4269
Patient died in queue, patient: 4287
Patient died in queue, patient: 4288
Patient died in queue, patient: 4289
Patient died in queue, patient: 4290
Patient died in queue, patient: 4291
Patient died in queue, patient: 4292
Patient died in queue, patient: 4293
Patient died in queue, patient: 4294
Patient died in queue, patient: 4295
Patient died in queue, patient: 4296
Patient died in queue, patient: 4297
Patient died in queue, patient: 4298
Patient died in queue, patient: 4299
Patient died in queue, patient: 4300
Patient died in queue, patient: 4301
Patient died in queue, patient: 4302
Patient died in queue, patient: 4303
Added patient to queue, patient: 4312
Patient is healthy, patient: 4154
Patient died in queue, patient: 4305
Trying to move to basic care unit..., patient: 4250
Added patient to queue, patient: 4313
Added patient to queue, patient: 4314
Added patient to queue, patient: 4315
Trying to move to intensive care unit..., patient: 4147
Trying to move to intensive care unit..., patient: 4304
Trying to move to intensive care unit..., patient: 4306
DailyProbability time: 875.0
Patient moved to intensive care unit successfully, patient: 4147
Patient moved back to basic care, patient: 4250
Patient moved to intensive care unit successfully, patient: 4304
Patient died in queue, patient: 4307
Patient died in queue, patient: 4308
Patient died in queue, patient: 4309
Patient moved to intensive care unit successfully, patient: 4306
Added patient to queue, patient: 4316
Patient is healthy, patient: 4277
Added patient to queue, patient: 4317
Patient is healthy, patient: 4278
Patient is healthy, patient: 4276
Added patient to queue, patient: 4318
Added patient to queue, patient: 4319
Added patient to queue, patient: 4320
Added patient to queue, patient: 4321
Trying to move to intensive care unit..., patient: 4262
Trying to move to intensive care unit..., patient: 4313
DailyProbability time: 876.0
Patient moved to intensive care unit successfully, patient: 4262
Patient died in basic care... (no free bed in intensive care unit), patient: 4313
Added patient to queue, patient: 4322
Added patient to queue, patient: 4323
Added patient to queue, patient: 4324
Trying to move to intensive care unit..., patient: 4310
Trying to move to intensive care unit..., patient: 4249
DailyProbability time: 877.0
Patient died in basic care... (no free bed in intensive care unit), patient: 4310
Patient died in basic care... (no free bed in intensive care unit), patient: 4249
Added patient to queue, patient: 4325
Added patient to queue, patient: 4326
Patient is healthy, patient: 4286
Added patient to queue, patient: 4327
Added patient to queue, patient: 4328
Added patient to queue, patient: 4329
Added patient to queue, patient: 4330
